Domain,Sum of Estimated Clicks,Position
postcollegerevelations.wordpress.com,0.6,16.666666666666668
jobsearch.monster.com,0.1,16.0
thehealingcodes.com,1522.5000000000002,6.85
ideas.time.com,0.3,18.0
warwicksu.com,10.0,1.0
campaignindia.in,8.4,8.0
qualidigm.org,1.5,6.0
madaboutmyskin.blogspot.com,4.0,13.333333333333334
naturalmedicinejournal.com,0.1,15.0
softlips.com,14.0,3.25
thisisglamorous.com,0.4,15.0
indiblogger.in,0.1,18.0
lakhanismart.com,0.2,9.0
thedermblog.com,12.799999999999999,12.473684210526315
napiers.net,0.3,20.0
aloesajten.com,0.1,15.0
dconheels.com,0.3,13.0
voyageursoapandcandle.com,1.5000000000000002,7.5
kitchenworksinc.com,1.9000000000000001,17.333333333333332
towson.edu,0.4,17.0
enme.umd.edu,97.6,4.0
healthextremist.com,3.9000000000000004,17.0
justmakeitup3.blogspot.com,0.1,17.0
sciencebasedmedicine.org,632.2,9.666666666666666
mental-maths-trick.blogspot.com,0.9,7.5
theultimatemakeup.com,19.0,9.0
community.wendyshow.com,0.8,4.0
girlscosmo.com,26.0,10.8
lotion-tanning.com,0.1,19.0
runnersworld.co.uk,2.5,1.0
cokebottlecarteluk.co.uk,0.4,8.0
zoya.com,4.300000000000001,12.166666666666666
wieniawski.blogspot.com,0.6000000000000001,12.0
livinglibations.com,0.30000000000000004,15.5
tipsplants.com,6.6000000000000005,11.25
healthyblenderrecipes.com,2.7,12.666666666666666
drpgilbert.com,0.3,14.0
africageographic.com,0.2,8.0
medicinechest.co.uk,0.1,14.0
dibaudo.files.wordpress.com,0.2,20.0
traditional-building.com,0.1,16.0
vetmedicine.about.com,0.2,15.5
willcookforfriends.com,0.1,19.0
minarsdermatology.com,0.5,6.0
nlm.nih.gov,1027.8000000000009,10.79874213836478
bobbibrowncosmetics.com,3.5,16.2
nivea.co.ke,0.2,10.0
drymouthcures.com,0.2,18.0
adventuresinenergy.org,4.6000000000000005,14.5
isabelletakingchances.blogspot.com,0.1,18.0
forums.gardenweb.com,1.0,18.5
mushroomexpert.com,1.1,12.0
1968atcafe101atlanta.com,1.3,15.0
sploid.gizmodo.com,0.1,19.0
thehouseofbelonging.com,0.30000000000000004,17.0
musicnoteslib.com,14.4,8.0
diseasespictures.com,2.8,8.75
foodess.com,11.8,9.0
creamchargersdirect.co.uk,3.4,10.0
cargill.com,0.2,16.5
dogsbynina.com,1.4000000000000001,8.666666666666666
weatheronline.co.uk,0.5,16.666666666666668
junkscience.com,8.4,5.0
hip2save.blogspot.com,0.2,8.0
beautyandgroomingtips.com,5.6,14.636363636363637
grandmas-wisdom.com,0.6,5.0
squishable.com,19.0,16.0
adornabelle.com,1.4,12.5
thesite.org,0.6,15.0
acnetreatmentskincareslc.com,0.9000000000000001,14.0
nusphere.com,6.4,8.0
4bjourney2natural.blogspot.com,0.1,16.0
usfreeads.com,0.6,8.0
findnsave.newsobserver.com,0.5,12.5
jellyfishaquarist.com,6.1,6.5
staples.ca,0.1,17.0
arniesamazing.com,0.3,13.0
adelightfulhome.com,3.1,11.8
dollartree.com,3253.6,12.85
medbc.com,0.6,15.0
littlehouseliving.com,10.7,6.6
reviews.birdeye.com,0.4,12.666666666666666
curlmart.com,159.19999999999996,9.119047619047619
bhg.com,8.399999999999999,13.476190476190476
gedeniff.jimdo.com,0.2,14.0
www3.epa.gov,1.2000000000000002,12.5
homesteadschools.com,0.0,19.0
whatsinthebible.com,1.1,3.0
johnabate.com,0.1,17.0
poshmark.com,19.500000000000004,12.74074074074074
butter.ingredientsnetwork.com,0.1,18.0
mynonleatherlife.com,2.4,4.0
cocooncenter.co.uk,17.1,13.166666666666666
herbs.motherearthliving.com,0.1,19.0
theparrotforum.com,0.1,14.0
jonmroz.com,1.3000000000000003,10.5
wrightwayofhair.com,21.1,3.0
goodnessgoodies.co.uk,0.3,7.0
everything-thatmatters.com,1.4000000000000001,2.0
fireandflames.com,0.2,19.0
topclassactions.com,0.1,19.0
best.weightlosseasy.org,0.8,17.75
indianhealthyrecipes.com,12.6,4.333333333333333
jkdistributions.com,0.5,14.666666666666666
johnsonsbabyme.com,0.9,19.0
tan2day.com,1.6,6.0
youresopretty.com,5.6,15.416666666666666
brunswick.craigslist.org,0.4,19.0
beachstore.com,0.4,15.0
outback-australia-travel-secrets.com,0.5,13.0
gogreenhk.wordpress.com,0.1,20.0
careers.peopleclick.com,0.2,13.0
notmartha.org,982.2,13.285714285714286
ustream.tv,0.4,10.0
revitaink.com,0.1,16.0
happilyunprocessed.com,3.6,9.0
bulkskincare.com,0.2,12.5
daniellebriggs.thechefstoolbox.net,0.0,12.666666666666666
zonebourse.com,0.1,20.0
blog.mynycpodiatrist.com,0.6,9.0
piners-medical.com,0.1,18.0
fragrantmoments.net,0.7999999999999999,9.666666666666666
ratnik.com,0.8,4.0
unitedstateszipcodes.org,4.0,8.0
badgerandblade.com,5.9,7.75
bupa.com.au,0.6000000000000001,15.0
udderbalmonline.com,0.2,17.0
markdzula.com,0.1,19.0
naturalskincarelove.com,0.2,8.0
beautybrands.com,1.6,13.0
etsy.com,259.79999999999967,11.310077519379846
playpennies.com,0.2,17.0
hemp.org,9.6,9.0
nlda.org,0.4,17.333333333333332
motip.com,1.7999999999999998,5.0
thesevereclimber.com,4.5,8.4
georgianlondon.com,0.2,19.0
eastbaymeditation.org,0.1,15.0
caryskincare.com,16.4,7.666666666666667
gammex50.com,0.1,14.0
ikatehouse.com,1.3,18.5
maleskin.co.uk,1.2,7.0
lorealparisusa.com,15.2,9.3125
songbpm.com,0.8,9.0
quikshipmedical.com,0.2,9.0
washington.providence.org,1.0000000000000002,12.0
acreaturecomfort.com,0.6,9.0
isavea2z.com,16.1,16.5
spine-health.com,0.2,20.0
ryumihime.blogspot.com,0.1,18.0
firstaid.about.com,12.600000000000001,10.4
maniadb.com,0.0,14.0
pharmacy7.gr,0.2,20.0
tally-weijl.com,1.2000000000000002,10.0
coolvest.com,0.2,14.0
steelbonehornstone.wordpress.com,0.1,13.0
shiningmountainherbs.com,0.1,20.0
black-tides.com,0.2,10.0
beauty.asianscent.com,0.3,11.0
campho.com,0.5,15.0
triplelanolin.com,7.7,3.0
gamezebo.com,0.2,14.0
healthquestions.medhelp.org,54.3,11.931034482758621
petersparadise.blogspot.com,0.5,17.0
sonicomusica.com,0.1,11.0
askiver.com,0.1,17.0
thafcc.wordpress.com,0.7000000000000001,13.0
neutrogena.co.uk,21.799999999999997,11.5
outpostcrossfit.sites.zenplanner.com,3.2,19.0
chokefrantic.hubpages.com,0.8999999999999999,18.5
emptyclosets.com,0.1,14.0
petroglobalnews.com,0.5,20.0
exzaderm.com,1.0,9.0
optima-2.myshopify.com,0.1,16.0
usp.org,1.1,3.0
couturechild.blogspot.com,3.4000000000000004,9.666666666666666
starlightnail.com,4.0,4.666666666666667
kerrycooks.com,0.1,12.0
yiisdaily.blogspot.com,0.1,19.0
theglossarie.com,0.1,12.0
starstyle.lv,0.1,11.0
privilege.perfumei.com,0.1,11.0
koodal.com,2.4,4.0
healthnbodytips.com,1916.8,10.555555555555555
vaseline.ca,446.40000000000003,11.238095238095237
foodrenegade.com,0.8999999999999999,11.8
nps.org.au,0.4,10.5
antiwrinkleproducts.net,0.1,16.0
seriouslyskin.com,0.2,16.0
modernmom.com,1.7,15.0
driscolls.com,0.1,17.0
candymag.com,0.1,19.0
rinandray.blogspot.com,2.0,6.0
store.secondskinaudio.com,2.5,1.0
getthegloss.com,1670.8999999999996,9.383561643835616
blacks.co.uk,8.7,9.0
meritnation.com,2.1,14.0
jergens-me.com,0.3,11.0
peopleeasy.com,0.1,19.0
suburbansocialites.com,0.1,16.0
thecostumeland.com,1.0,6.0
allnurses.com,15.7,11.0
nhs24.com,0.1,15.0
drspiegel.com,22.400000000000002,3.1666666666666665
irishhealth.com,12.700000000000001,16.5
mybeautydiaries.com,39.4,9.652173913043478
100percentpure.com,3.9000000000000004,10.75
fragrancenet.com,7.1,10.75
ninasbargainbeauty.blogspot.com,9.799999999999999,11.25
wellbeingalignment.com,0.5,15.0
marjoriebrookseminars.com,0.9,20.0
bethysbeautyspot.com,0.2,9.0
lorealparis.ca,109.79999999999998,9.0
skinnedcartree.com,0.5,11.0
rosychicc.com,2.2,14.5
medicinenet.com,3236.499999999996,8.359929078014185
the370z.com,0.1,16.0
jellystoneatwhisperingpines.com,1.0,8.0
oilprice.com,0.1,17.0
eurocities2011.eu,1.1,18.75
letscallitcrispy.wordpress.com,2.8000000000000003,8.0
blackhairmedia.com,162.79999999999998,9.705882352941176
ebooks4free.us,0.2,19.0
heattransfer.asmedigitalcollection.asme.org,0.2,17.0
sofyclub.com,0.8,18.5
utkinternational.com.au,2.8000000000000003,2.0
magicmum.com,0.6000000000000001,16.0
aloe-vera-acne64.tumblr.com,3.8000000000000003,14.6
myvanitytreasures.com,0.2,11.0
nycsinglemom.com,0.1,19.0
kellogg.umich.edu,0.6,5.0
skincarebydecleor.com,0.3,7.0
lotionskin.com,0.2,15.0
grabpage.info,5.8999999999999995,5.25
hbb24.nl,0.7000000000000001,14.0
bodybronzeproducts.com,0.2,8.0
pepsicojobs.com,2.2,15.0
physiciansimmediatecare.com,0.1,12.0
crystalcandymakeup.com,0.2,12.0
celiac.com,3.400000000000001,11.0
pbunniep.com,0.7,16.5
rheahealing.com,1.4000000000000001,18.0
nodontpinthat.blogspot.com,23.6,6.666666666666667
wncwoman.com,0.5,12.0
boxpromag.com,3.2,16.0
metaboliceffect.com,0.30000000000000004,14.0
thefrugalhomemaker.com,0.2,19.0
french-treasures.net,1.6,4.5
us202-markleystreet.com,0.1,15.0
radiantzemax.com,0.1,12.0
nightwishspain.com,0.9,16.0
shop.benco.com,0.4,18.5
thepinkshoeloves.blogspot.com,2.2,8.0
styleandthensome.wordpress.com,0.1,16.0
manespeak.com,117.1,11.5
worldofcoca-cola.com,6.4,11.0
top10inaction.com,2.4000000000000004,16.11111111111111
cowboylyrics.com,3.2,4.0
shoezine.com,1.0,6.0
emmarosetully.com,0.30000000000000004,12.0
thebodyshop.se,0.4,11.0
myfootdr.com.au,0.2,15.0
dealseekingmom.com,23.4,5.0
transitioningmovement.com,12.3,9.777777777777779
uncommongoods.com,162.7,9.0
essential-oil-recipes.com,0.2,13.0
mdgeorgeandadamlsummers.wordpress.com,0.1,16.0
thinkexist.com,0.0,10.0
buuhoapharma.com.vn,1.8,9.0
criticalmediaproject.org,0.1,19.0
overtimecook.com,1.7,5.5
eshop.tesco.com.my,0.2,19.0
woundsinternational.com,0.2,9.0
prettybrownsquared.blogspot.com,0.4,13.0
beginatzero.com,0.2,12.5
mom.girlstalkinsmack.com,1.7,12.25
stoppickingonme.com,0.6,9.0
unilever.co.uk,180.09999999999997,6.142857142857143
fashionlush.com,0.5,18.0
askavetquestion.com,6.4,5.0
iknowbeauti.com,6.3,7.0
dawnrabey.com,0.1,20.0
buffalobulletin.com,0.2,9.0
deq.wyoming.gov,0.6,5.0
gekengineering.com,0.2,14.0
topshop.com,33.0,8.0
pointy.com,0.30000000000000004,15.0
thehealingplacecg.com,29.0,14.0
nicehair.org,8.1,11.571428571428571
videomoviefreak.com,0.1,19.0
vodkabularies.com,38.2,6.0
justgrowalready.com,77.90000000000002,12.2
gentlemansgazette.com,0.1,18.0
mademoisellebonplan.fr,0.7000000000000001,11.0
createdby-diane.com,0.7000000000000001,11.0
thelaundress.com,1.1,14.0
femke-and-maia.blogspot.com,1.1,3.0
bfdpersonalcareza.files.wordpress.com,0.4,16.0
gap.eu,0.2,15.0
kissmegoodnight.com,0.6,7.0
brikasia.com,2.2,3.0
gelpenw.blogspot.com,0.3,12.0
syrianclinic.com,1.4000000000000001,18.0
medicaldevice-network.com,0.2,8.0
nontoxicmunchkin.com,0.2,17.0
tophatter.com,0.2,17.0
crystalsspa.com,11.100000000000001,10.5
shabdkosh.raftaar.in,0.8999999999999999,7.0
womensblogtalk.com,5.200000000000001,16.9
killerinktattoo.co.uk,7.0,6.0
glossybox.co.uk,1.5,6.0
dynastygallery.com,19.0,20.0
rxlist.com,6.5,10.375
organic4greenlivings.com,2.4000000000000004,9.0
drinks.seriouseats.com,0.4,19.0
supersalve.com,0.3,7.0
iweightloss.com,0.5,6.0
tech.firstpost.com,0.1,17.0
breastcancer.org,18.7,10.75
sickathanaverage.com,4.5,10.714285714285714
cpe.engr.ku.edu,0.9,14.5
urbanhaircare.blogspot.com,0.2,8.0
cuckooforcoupondeals.com,3.4000000000000004,11.777777777777779
shizasblog.blogspot.com,1.5,6.0
kayxcake.blogspot.com,0.1,19.0
dermpathmd.com,0.2,14.0
anyiyang.com,4.0,8.0
21drops.com,0.5,18.0
flrules.org,1.0,9.0
mydr.com.au,19.000000000000004,9.5
beautylitandramblings.com,6.300000000000001,16.5
nottinghamcity.gov.uk,0.2,20.0
molecularrecipes.com,2.2,16.5
lifehacker.com.au,2.2,3.0
rockitnapptural.com,0.1,20.0
dogchannel.com,3.7,3.0
exeter.co.uk,0.0,1.5
mytime.com,1.9,10.25
kibbysblendedlife.com,0.4,14.0
wadlata.sa.gov.au,0.2,17.0
24-54-62-44.sh.cgocable.ca,0.1,17.0
ourhouseplants.com,0.1,16.0
anbportal.com,0.1,19.0
lumberjocks.com,0.2,18.0
howtosolveclearskinmask.xyz,0.4,19.0
theeverygirl.com,38.4,9.3125
rd.com,1312.2999999999997,11.193548387096774
blog.chw.org,17.6,3.0
twinstarlao.com,3.5,6.0
lickyourlipsminidonuts.com,0.5,15.0
shop.brooklynartery.com,0.1,20.0
betterraw.com,26.300000000000008,9.625
hickorygrovegc.com,1.1,17.0
montreal.about.com,0.1,14.0
ultimatecoupons.com,0.6000000000000001,10.0
capecodgreencleaningsource.com,0.1,13.0
aveda.com,14.599999999999998,4.4
power-eng.com,0.8,6.5
gymboree.com,83.2,11.15625
usatoday.com,5.6000000000000005,9.333333333333334
breakmystyle.com,2.2,3.0
thenerdyfarmwife.com,14.200000000000001,12.294117647058824
tsorain.blogspot.com,2.3000000000000003,12.5
paleokitchenlab.com,0.7,14.5
howtocleanstuff.net,14.4,4.75
maidendshade.com,1.4000000000000001,2.0
influenster.com,45.40000000000003,15.46987951807229
iivs.org,0.4,20.0
faet.org,0.3,12.0
apni123.com,1.1,3.0
thewesternunion.custhelp.com,0.6,15.0
fitday.com,57.3,13.571428571428571
naildesignsforyou.com,0.1,15.0
synapseschool.org,0.2,15.0
store.independenceaustralia.com,8.5,7.0
static1.squarespace.com,6.3,7.0
prestonwynne.com,0.30000000000000004,14.5
aquatech-skincare.com,1.0,11.0
ctfootgroup.com,0.2,17.0
iheart.com,0.1,20.0
pacelabs.com,0.6,17.5
awakenbodywork.com,1.4000000000000001,9.0
thedigitallatina.com,0.1,19.0
lysol.com,0.1,19.0
miracleskinnydrops.com,0.3,7.0
dooyoo.co.uk,27.1,11.38888888888889
rehabmart.com,1.3,13.25
underscoopfire.com,1.4000000000000001,2.0
airproducts.com,3.8,10.0
tattooprime.eu,42.9,3.0
naturaleyecare.com,0.4,14.0
radiantvisionsystems.com,4.1,2.5
learn.eartheasy.com,0.6,5.0
thiswomansword.com,0.1,16.0
theundisciplined.com,0.1,19.0
home-saver2.lawoffice.com,0.3,7.0
publicisgroupe.com,0.1,20.0
valerie-lim.com,1.6,4.0
heyhoney.com,3.9,17.0
unilever.pk,0.30000000000000004,14.5
stroke.org.nz,0.2,15.0
pharma-gdd.com,0.30000000000000004,14.0
make-up-packaging.com,0.4,10.0
catalog.utexas.edu,0.1,17.0
thegreatfitnessexperiment.com,2.1,13.666666666666666
csphonenumber.com,0.1,20.0
kimpossiblygorgeous.com,52.9,11.5
mckenzierenae.com,0.1,16.0
ailis.info,0.1,18.0
calaccollectibles.com,0.2,14.0
chev7.net,0.3,14.0
businessformtemplate.com,0.8,8.0
theprimpingpixie.wordpress.com,0.4,10.0
cityofcocoabeach.com,3.5,5.0
platinum.avipd.com,1.1,3.0
lotiontoday.com,0.2,15.0
diananailspa.com,0.9,13.0
boneclinx690.hubpages.com,0.8,19.0
stripers247.com,0.1,11.0
sulwhasoo.co.th,0.30000000000000004,17.0
libanswers.cmog.org,0.5,10.5
dir.indiamart.com,28.800000000000004,9.0
makeupwithdrawal.com,1.0,17.0
thehealingplace-sv.org,12.2,13.0
bodyworksglobal.com,1.4000000000000001,19.0
empr.com,0.3,13.0
jfhc.co.uk,0.2,11.0
iamgettingsmaller.com,1.7,5.5
dict.hinkhoj.com,3.6000000000000005,2.5
pinterestingsummer2012.blogspot.com,1.5,13.333333333333334
mcs360.com,0.7,13.0
mommypotamus.com,60.800000000000004,10.782608695652174
idcarionline.tk,0.1,18.0
physicians.columbia-stmarys.org,0.9,13.0
fancyluxe.com,2.2,3.0
fingernailsandhealth.com,0.2,14.0
petcarerx.com,3.5999999999999996,10.333333333333334
md-health.com,760.8000000000003,10.333333333333334
carolinashoresnaturalsoap.com,0.4,16.0
armscare.com,0.8,8.0
hbafricanshop.se,5.3999999999999995,5.0
schoolsintheusa.com,0.1,18.0
wewomen.com,1.5000000000000002,8.0
essentialwholesale.com,6.8999999999999995,7.75
whattheflicka.com,0.4,13.0
chatelaine.com,26.6,11.333333333333334
slb.com,0.2,19.0
medicinehunter.com,0.4,17.0
cocoraveswim.com,0.2,17.0
dyers.org,0.30000000000000004,16.0
mymosh.com,0.2,18.0
news.stanford.edu,3.5,17.0
